sample,fastq_1,fastq_2,condition,replicate,time,group,reference_group
LD_N2_t0_R1,input/fastq/2A1-4-1-8_S76_R1_001.fastq.gz,,LD_N2,1,0,5,5
LD_N2_t1_R1,input/fastq/2A2-4-1-11_S77_R1_001.fastq.gz,,LD_N2,1,3.4,6,5
LD_N2_t2_R1,input/fastq/2A3-4-1-14_S78_R1_001.fastq.gz,,LD_N2,1,5.8,7,5
LD_N2_t3_R1,input/fastq/2A4-4-1-16_S79_R1_001.fastq.gz,,LD_N2,1,7.4,8,5
LD_N2_t4_R1,input/fastq/2A5-4-1-20_S80_R1_001.fastq.gz,,LD_N2,1,9.5,9,5
LD_N2_t5_R1,input/fastq/2A6-4-1-22_S81_R1_001.fastq.gz,,LD_N2,1,10.8,10,5
LD_N2_t0_R2,input/fastq/2A7-4-3-8_S82_R1_001.fastq.gz,,LD_N2,2,0,5,5
LD_N2_t1_R2,input/fastq/2A8-4-3-11_S83_R1_001.fastq.gz,,LD_N2,2,3.4,6,5
LD_N2_t2_R2,input/fastq/2B1-4-3-14_S84_R1_001.fastq.gz,,LD_N2,2,5.8,7,5
LD_N2_t3_R2,input/fastq/2B2-4-3-16_S85_R1_001.fastq.gz,,LD_N2,2,7.4,8,5
LD_N2_t4_R2,input/fastq/2B3-4-3-20_S86_R1_001.fastq.gz,,LD_N2,2,9.5,9,5
LD_N2_t5_R2,input/fastq/2B4-4-3-22_S87_R1_001.fastq.gz,,LD_N2,2,10.8,10,5
LD_N2_t0_R3,input/fastq/2B5-4-4-8_S88_R1_001.fastq.gz,,LD_N2,3,0,5,5
LD_N2_t1_R3,input/fastq/2B6-4-4-11_S89_R1_001.fastq.gz,,LD_N2,3,3.4,6,5
LD_N2_t2_R3,input/fastq/2B7-4-4-14_S90_R1_001.fastq.gz,,LD_N2,3,5.8,7,5
LD_N2_t3_R3,input/fastq/2B8-4-4-16_S91_R1_001.fastq.gz,,LD_N2,3,7.4,8,5
LD_N2_t4_R3,input/fastq/2C1-4-4-20_S92_R1_001.fastq.gz,,LD_N2,3,9.5,9,5
LD_N2_t5_R3,input/fastq/2C2-4-4-22_S93_R1_001.fastq.gz,,LD_N2,3,10.8,10,5
HL_5N2_t0_R1,input/fastq/5A1-4-5-8_S154_R1_001.fastq.gz,,HL_5N2,1,0,26,26
HL_5N2_t1_R1,input/fastq/5A2-4-5-9_S155_R1_001.fastq.gz,,HL_5N2,1,2.2,27,26
HL_5N2_t2_R1,input/fastq/5A3-4-5-10_S156_R1_001.fastq.gz,,HL_5N2,1,4.1,28,26
HL_5N2_t3_R1,input/fastq/5A4-4-5-11_S157_R1_001.fastq.gz,,HL_5N2,1,5.2,29,26
HL_5N2_t4_R1,input/fastq/5A5-4-5-13_S158_R1_001.fastq.gz,,HL_5N2,1,7.3,30,26
HL_5N2_t5_R1,input/fastq/5A6-4-5-14_S159_R1_001.fastq.gz,,HL_5N2,1,8.8,31,26
HL_5N2_t6_R1,input/fastq/5A7-4-5-15_S160_R1_001.fastq.gz,,HL_5N2,1,10.01,32,26
HL_5N2_t7_R1,input/fastq/5A8-4-5-16_S161_R1_001.fastq.gz,,HL_5N2,1,11.6,33,26
HL_5N2_t0_R2,input/fastq/5B1-4-6-8_S162_R1_001.fastq.gz,,HL_5N2,2,0,26,26
HL_5N2_t1_R2,input/fastq/5B2-4-5-9_S163_R1_001.fastq.gz,,HL_5N2,2,2.2,27,26
HL_5N2_t2_R2,input/fastq/5B3-4-5-10_S164_R1_001.fastq.gz,,HL_5N2,2,4.1,28,26
HL_5N2_t3_R2,input/fastq/5B4-4-5-11_S165_R1_001.fastq.gz,,HL_5N2,2,5.2,29,26
HL_5N2_t4_R2,input/fastq/5B5-4-5-13_S166_R1_001.fastq.gz,,HL_5N2,2,7.3,30,26
HL_5N2_t5_R2,input/fastq/5B6-4-5-14_S167_R1_001.fastq.gz,,HL_5N2,2,8.8,31,26
HL_5N2_t6_R2,input/fastq/5B7-4-5-15_S168_R1_001.fastq.gz,,HL_5N2,2,10.01,32,26
HL_5N2_t7_R2,input/fastq/5B8-4-5-16_S169_R1_001.fastq.gz,,HL_5N2,2,11.6,33,26
HL_5N2_t0_R3,input/fastq/5C1-4-7-8_S170_R1_001.fastq.gz,,HL_5N2,3,0,26,26
HL_5N2_t1_R3,input/fastq/5C2-4-7-9_S171_R1_001.fastq.gz,,HL_5N2,3,2.2,27,26
HL_5N2_t2_R3,input/fastq/5C3-4-7-10_S172_R1_001.fastq.gz,,HL_5N2,3,4.1,28,26
HL_5N2_t3_R3,input/fastq/5C4-4-7-11_S173_R1_001.fastq.gz,,HL_5N2,3,5.2,29,26
HL_5N2_t4_R3,input/fastq/5C5-4-7-13_S174_R1_001.fastq.gz,,HL_5N2,3,7.3,30,26
HL_5N2_t5_R3,input/fastq/5C6-4-7-14_S175_R1_001.fastq.gz,,HL_5N2,3,8.8,31,26
HL_5N2_t6_R3,input/fastq/5C7-4-7-15_S176_R1_001.fastq.gz,,HL_5N2,3,10.01,32,26
HL_5N2_t7_R3,input/fastq/5C8-4-7-16_S177_R1_001.fastq.gz,,HL_5N2,3,11.6,33,26
HL_5N2_t0_R4,input/fastq/5D1-4-8-8_S178_R1_001.fastq.gz,,HL_5N2,4,0,26,26
HL_5N2_t1_R4,input/fastq/5D2-4-8-9_S179_R1_001.fastq.gz,,HL_5N2,4,2.2,27,26
HL_5N2_t2_R4,input/fastq/5D3-4-8-10_S180_R1_001.fastq.gz,,HL_5N2,4,4.1,28,26
HL_5N2_t3_R4,input/fastq/5D4-4-8-11_S181_R1_001.fastq.gz,,HL_5N2,4,5.2,29,26
HL_5N2_t4_R4,input/fastq/5D5-4-8-13_S182_R1_001.fastq.gz,,HL_5N2,4,7.3,30,26
HL_5N2_t5_R4,input/fastq/5D6-4-8-14_S183_R1_001.fastq.gz,,HL_5N2,4,8.8,31,26
HL_5N2_t6_R4,input/fastq/5D7-4-8-15_S184_R1_001.fastq.gz,,HL_5N2,4,10.01,32,26
HL_5N2_t7_R4,input/fastq/5D8-4-8-16_S185_R1_001.fastq.gz,,HL_5N2,4,11.6,33,26
