sgRNA	condition	time	group	reference_group	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	fitness
2A1	HL_5N2	0	26	26	NA	0	0	NA	1	1	-0.08142238341403928
2A1	HL_5N2	2.2	27	26	3637.194006027186	0.007943379991524113	0.18862932964820767	0.04211105455518747	0.9664101677285593	0.9991336400486256	-0.08142238341403928
2A1	HL_5N2	4.1	28	26	3637.194006027186	-0.12235134333354579	0.1881364435300133	-0.6503330297833931	0.5154771260673787	0.7086126847305967	-0.08142238341403928
2A1	HL_5N2	5.2	29	26	3637.194006027186	-0.16066750886308923	0.1881822158761632	-0.8537868900896536	0.3932230796964003	0.6962825054916311	-0.08142238341403928
2A1	HL_5N2	7.3	30	26	3637.194006027186	0.06334508865257768	0.19127034514612273	0.33118091884125905	0.7405078322959797	0.8462946654811196	-0.08142238341403928
2A1	HL_5N2	8.8	31	26	3637.194006027186	0.01007553689027522	0.18880604785084604	0.05336448172589653	0.9574415043467037	0.9574415043467037	-0.08142238341403928
2A1	HL_5N2	10.01	32	26	3637.194006027186	-0.03858899735159791	0.18862428553779795	-0.20458127775845258	0.8378992842012187	0.8378992842012187	-0.08142238341403928
2A1	HL_5N2	11.6	33	26	3637.194006027186	-0.15294042688241066	0.19069249785113712	-0.8020264488947154	0.4225376588950636	0.520046349409309	-0.08142238341403928
2A1	LD_N2	0	5	5	NA	0	0	NA	1	1	0.5633525462624076
2A1	LD_N2	3.4	6	5	3637.194006027186	0.10047198264646463	0.21742753589133268	0.46209410521342226	0.6440138372703635	0.9429977712811921	0.5633525462624076
2A1	LD_N2	5.8	7	5	3637.194006027186	0.06576904368905341	0.21723338607267317	0.3027575313264742	0.7620746503683986	0.9053987046709127	0.5633525462624076
2A1	LD_N2	7.4	8	5	3637.194006027186	0.17939474411608597	0.2193365143046152	0.8178973058126656	0.41341582886468503	0.8662471250470203	0.5633525462624076
2A1	LD_N2	9.5	9	5	3637.194006027186	0.8697546292402774	0.21855619305348328	3.979546939799771	6.904672665306141e-5	1.3809345330612283e-4	0.5633525462624076
2A1	LD_N2	10.8	10	5	3637.194006027186	1.244205794524486	0.2174191562618558	5.7226134804147	1.0489773163891568e-8	3.356727412445302e-8	0.5633525462624076
2B4	HL_5N2	0	26	26	NA	0	0	NA	1	1	-1.5614190848235876
2B4	HL_5N2	2.2	27	26	2234.1909959451027	-0.14806993759417722	0.14930372467284622	-0.9917363945114399	0.3213261323863343	0.9991336400486256	-1.5614190848235876
2B4	HL_5N2	4.1	28	26	2234.1909959451027	-0.6655577092163348	0.14877903465017106	-4.473464361301188	7.69623903761815e-6	1.231398246018904e-4	-1.5614190848235876
2B4	HL_5N2	5.2	29	26	2234.1909959451027	-0.9306815418539939	0.1489063195249053	-6.250114466755945	4.1015197357349305e-10	6.562431577175889e-9	-1.5614190848235876
2B4	HL_5N2	7.3	30	26	2234.1909959451027	-1.2126192093299537	0.15491399979002385	-7.827692855220203	4.9690406319988346e-15	7.950465011198135e-14	-1.5614190848235876
2B4	HL_5N2	8.8	31	26	2234.1909959451027	-1.2330808071772323	0.15059297077181202	-8.18816974562295	2.6522857574861335e-16	4.243657211977814e-15	-1.5614190848235876
2B4	HL_5N2	10.01	32	26	2234.1909959451027	-1.1587420031471076	0.1500158593655601	-7.724130022303001	1.1261984128566e-14	4.5047936514264e-14	-1.5614190848235876
2B4	HL_5N2	11.6	33	26	2234.1909959451027	-0.9930596404941323	0.15343694087420157	-6.472102707706567	9.664838660196475e-11	3.86593546407859e-10	-1.5614190848235876
2B4	LD_N2	0	5	5	NA	0	0	NA	1	1	-1.7553685191003054
2B4	LD_N2	3.4	6	5	2234.1909959451027	-0.2871625074400502	0.17205664410486596	-1.6689998165082711	0.09511741617656684	0.9429977712811921	-1.7553685191003054
2B4	LD_N2	5.8	7	5	2234.1909959451027	-0.9018091561336578	0.17193292302705063	-5.245121994417404	1.5617895232450944e-7	2.498863237192151e-6	-1.7553685191003054
2B4	LD_N2	7.4	8	5	2234.1909959451027	-1.4175261309965252	0.17781257659153263	-7.9720240163486125	1.5609646054969873e-15	2.4975433687951797e-14	-1.7553685191003054
2B4	LD_N2	9.5	9	5	2234.1909959451027	-1.771788956050885	0.17914737751465207	-9.890119412470742	4.594794963704853e-23	7.351671941927765e-22	-1.7553685191003054
2B4	LD_N2	10.8	10	5	2234.1909959451027	-1.858670541027865	0.17510993785573825	-10.614306439644238	2.5568615872122493e-26	4.090978539539599e-25	-1.7553685191003054
2I2	HL_5N2	0	26	26	NA	0	0	NA	1	1	-2.124955546179301
2I2	HL_5N2	2.2	27	26	2256.483435983224	-0.09239784849489474	0.3452048004825394	-0.26766096058263905	0.7889603025593421	0.9991336400486256	-2.124955546179301
2I2	HL_5N2	4.1	28	26	2256.483435983224	-0.7143512361193015	0.3450160190230161	-2.070487156341709	0.03840674756354377	0.12290159220334007	-2.124955546179301
2I2	HL_5N2	5.2	29	26	2256.483435983224	-1.1423378344908985	0.3450849942501422	-3.310308629829469	9.319315319688487e-4	0.002982180902300316	-2.124955546179301
2I2	HL_5N2	7.3	30	26	2256.483435983224	-1.6376498004269169	0.3495236690759524	-4.6853759711221485	2.7944648221147926e-6	8.942287430767337e-6	-2.124955546179301
2I2	HL_5N2	8.8	31	26	2256.483435983224	-1.8737133372189474	0.3461818227126306	-5.412512195287439	6.214662080346962e-8	1.988691865711028e-7	-2.124955546179301
2I2	HL_5N2	10.01	32	26	2256.483435983224	-1.8274345859411134	0.3458428912807807	-5.284002164027329	1.263917567466051e-7	4.044536215891363e-7	-2.124955546179301
2I2	HL_5N2	11.6	33	26	2256.483435983224	-1.498112649111116	0.3478124848192432	-4.307242305835224	1.6530250026461414e-5	3.93561553765085e-5	-2.124955546179301
2I2	LD_N2	0	5	5	NA	0	0	NA	1	1	-1.9632881162728064
2I2	LD_N2	3.4	6	5	2256.483435983224	-0.31705476254461945	0.3984851151100345	-0.7956502025353456	0.4262353783952719	0.9429977712811921	-1.9632881162728064
2I2	LD_N2	5.8	7	5	2256.483435983224	-1.0461342890676262	0.3984518238291856	-2.6254975545452615	0.008652243042935196	0.03460897217174078	-1.9632881162728064
2I2	LD_N2	7.4	8	5	2256.483435983224	-1.571007138550027	0.40153115896391506	-3.9125410406598378	9.133001061316055e-5	3.653200424526422e-4	-1.9632881162728064
2I2	LD_N2	9.5	9	5	2256.483435983224	-1.9599089997396677	0.4026392822870704	-4.867654712195488	1.129304164281181e-6	3.6137733256997794e-6	-1.9632881162728064
2I2	LD_N2	10.8	10	5	2256.483435983224	-2.079722973051568	0.3999136322757016	-5.200430305956165	1.988276650666909e-7	3.5347140456300603e-7	-1.9632881162728064
4x	HL_5N2	0	26	26	NA	0	0	NA	1	1	-0.19172548837968323
4x	HL_5N2	2.2	27	26	3502.987070705745	-0.03736184058004699	0.19742118919875798	-0.1892493948176564	0.8498973556039188	0.9991336400486256	-0.19172548837968323
4x	HL_5N2	4.1	28	26	3502.987070705745	-0.20404375457717835	0.19694636996369483	-1.0360371435878297	0.3001848143628435	0.7086126847305967	-0.19172548837968323
4x	HL_5N2	5.2	29	26	3502.987070705745	-0.2449579686459416	0.1969923375133628	-1.243489831828231	0.21368738561630146	0.5698330283101372	-0.19172548837968323
4x	HL_5N2	7.3	30	26	3502.987070705745	-0.03914024051011334	0.2001339998532611	-0.19557017067970006	0.8449466097357543	0.9012763837181379	-0.19172548837968323
4x	HL_5N2	8.8	31	26	3502.987070705745	-0.019238887949591967	0.19758422465099565	-0.0973705668232103	0.9224321179096993	0.9574415043467037	-0.19172548837968323
4x	HL_5N2	10.01	32	26	3502.987070705745	-0.12849959977119116	0.19743618289392467	-0.6508411877078749	0.515149009438068	0.6340295500776222	-0.19172548837968323
4x	HL_5N2	11.6	33	26	3502.987070705745	-0.07672592697386625	0.19922755979935947	-0.3851170342654216	0.7001507080314534	0.746827421900217	-0.19172548837968323
4x	LD_N2	0	5	5	NA	0	0	NA	1	1	0.3312327781185332
4x	LD_N2	3.4	6	5	3502.987070705745	-0.02687581052562347	0.22760644214732398	-0.11808018381231682	0.906004124622032	0.9429977712811921	0.3312327781185332
4x	LD_N2	5.8	7	5	3502.987070705745	-0.07182949191723166	0.2274104857838898	-0.3158583108849777	0.7521100562515142	0.9053987046709127	0.3312327781185332
4x	LD_N2	7.4	8	5	3502.987070705745	0.04362866337869375	0.22956588811883288	0.19004854656851167	0.8492710890350222	0.9705955303257396	0.3312327781185332
4x	LD_N2	9.5	9	5	3502.987070705745	0.731516896432213	0.22876810803372108	3.1976349444844177	0.0013855956481935011	0.002119799359340667	0.3312327781185332
4x	LD_N2	10.8	10	5	3502.987070705745	1.0553293615592383	0.22761571920106738	4.636452022133845	3.544404168907221e-6	5.671046670251554e-6	0.3312327781185332
A	HL_5N2	0	26	26	NA	0	0	NA	1	1	-0.23012302952537358
A	HL_5N2	2.2	27	26	2757.029155708793	-0.031561897141013304	0.22323024734263563	-0.1413871888632055	0.8875640744095453	0.9991336400486256	-0.23012302952537358
A	HL_5N2	4.1	28	26	2757.029155708793	-0.14611451958397928	0.22268986044842315	-0.6561345868633325	0.5117375323164448	0.7086126847305967	-0.23012302952537358
A	HL_5N2	5.2	29	26	2757.029155708793	-0.23095037655930548	0.22274677129129022	-1.0368292892438258	0.29981542287391494	0.685292395140377	-0.23012302952537358
A	HL_5N2	7.3	30	26	2757.029155708793	0.005216387504652953	0.22619887284379636	0.023061067630762138	0.981601560950591	0.981601560950591	-0.23012302952537358
A	HL_5N2	8.8	31	26	2757.029155708793	-0.1066822532222625	0.2234732360630177	-0.47738268394779476	0.63308964243274235	0.7791872522249137	-0.23012302952537358
A	HL_5N2	10.01	32	26	2757.029155708793	-0.22180282990475955	0.22329898375898552	-0.993299773115668	0.3205638880903047	0.4274185174537396	-0.23012302952537358
A	HL_5N2	11.6	33	26	2757.029155708793	-0.29639041856953213	0.2257055716823141	-1.3131728045540172	0.1891247256715429	0.2521663008953905	-0.23012302952537358
A	LD_N2	0	5	5	NA	0	0	NA	1	1	0.4767253701685136
A	LD_N2	3.4	6	5	2757.029155708793	0.10073277649381782	0.2573374571687014	0.39144234034993575	0.6954703008998169	0.9429977712811921	0.4767253701685136
A	LD_N2	5.8	7	5	2757.029155708793	0.014747142654709002	0.2571388425047286	0.05735089460254458	0.9542656790055152	0.9980005003829128	0.4767253701685136
A	LD_N2	7.4	8	5	2757.029155708793	0.055771035077986475	0.2595966720613525	0.2148372497810976	0.8298942097898563	0.9705955303257396	0.4767253701685136
A	LD_N2	9.5	9	5	2757.029155708793	0.8196751314544746	0.25860407969438254	3.1696140773307366	0.001526415262635432	0.002119799359340667	0.4767253701685136
A	LD_N2	10.8	10	5	2757.029155708793	1.1631900360024638	0.257353349909346	4.519816961435332	6.18931194992725e-6	9.002635563530545e-6	0.4767253701685136
A41	HL_5N2	0	26	26	NA	0	0	NA	1	1	0.054478512711315326
A41	HL_5N2	2.2	27	26	4052.856489658753	-0.04221361278076228	0.1902523836130833	-0.2218821755558774	0.8244056065434996	0.9991336400486256	0.054478512711315326
A41	HL_5N2	4.1	28	26	4052.856489658753	-0.09701725930285707	0.18977907342874586	-0.5112115764401337	0.6092029134158423	0.7086126847305967	0.054478512711315326
A41	HL_5N2	5.2	29	26	4052.856489658753	-0.11200875841785624	0.18981703548760878	-0.590088018865768	0.5551316408679934	0.7401755211573244	0.054478512711315326
A41	HL_5N2	7.3	30	26	4052.856489658753	0.20702332178181146	0.1924349614680383	1.075809303062615	0.2820125507915102	0.3760167343886803	0.054478512711315326
A41	HL_5N2	8.8	31	26	4052.856489658753	0.18349474774111013	0.19030706534549455	0.9642035486595469	0.3349438855937962	0.44659184745839486	0.054478512711315326
A41	HL_5N2	10.01	32	26	4052.856489658753	0.0752229416244318	0.19018193907070982	0.39553146840333686	0.6924507024949846	0.7386140826613169	0.054478512711315326
A41	HL_5N2	11.6	33	26	4052.856489658753	8.348448784626108e-4	0.19187996927172066	0.004350870398985678	0.9965285186351647	0.9965285186351647	0.054478512711315326
A41	LD_N2	0	5	5	NA	0	0	NA	1	1	0.43859316699797307
A41	LD_N2	3.4	6	5	4052.856489658753	-0.01568279121589776	0.2193318229665271	-0.07150257998945807	0.9429977712811921	0.9429977712811921	0.43859316699797307
A41	LD_N2	5.8	7	5	4052.856489658753	-5.491542823524611e-4	0.21913545820691543	-0.002506003760623396	0.9980005003829128	0.9980005003829128	0.43859316699797307
A41	LD_N2	7.4	8	5	4052.856489658753	0.09415111299625314	0.22115211912845048	0.4257300964028652	0.6703045289460614	0.9705955303257396	0.43859316699797307
A41	LD_N2	9.5	9	5	4052.856489658753	0.843982646454057	0.22034695917789074	3.8302441277289967	1.280161889904134e-4	2.2758433598295716e-4	0.43859316699797307
A41	LD_N2	10.8	10	5	4052.856489658753	1.2400483797921495	0.21929442723843368	5.654719070648677	1.5610138126994938e-8	4.162703500531983e-8	0.43859316699797307
B	HL_5N2	0	26	26	NA	0	0	NA	1	1	-0.018824882918210394
B	HL_5N2	2.2	27	26	3341.208878233105	0.07725076523070562	0.2371214326924165	0.3257856717275824	0.7445865201390014	0.9991336400486256	-0.018824882918210394
B	HL_5N2	4.1	28	26	3341.208878233105	-0.12798752037637312	0.23667564003284652	-0.540771835912689	0.588664857561192	0.7086126847305967	-0.018824882918210394
B	HL_5N2	5.2	29	26	3341.208878233105	-0.06661747165443457	0.23670629973851964	-0.2814351444301412	0.7783766655949164	0.8895733321084758	-0.018824882918210394
B	HL_5N2	7.3	30	26	3341.208878233105	0.11453645669953931	0.2397201836433687	0.4777922949947969	0.632798045704372	0.7788283639438426	-0.018824882918210394
B	HL_5N2	8.8	31	26	3341.208878233105	0.07870542924642115	0.23728520102578515	0.3316912681708643	0.7401223947596889	0.8458541654396444	-0.018824882918210394
B	HL_5N2	10.01	32	26	3341.208878233105	-0.12523879738356947	0.23718544707184974	-0.5280205802240107	0.5974850519195238	0.6828400593365986	-0.018824882918210394
B	HL_5N2	11.6	33	26	3341.208878233105	-0.1339073167144479	0.23913452636270774	-0.5599664705519927	0.5755023080668378	0.6577169235049575	-0.018824882918210394
B	LD_N2	0	5	5	NA	0	0	NA	1	1	0.7144734430019365
B	LD_N2	3.4	6	5	3341.208878233105	-0.045555722251948254	0.2734527807137168	-0.1665944743112393	0.8676891417995436	0.9429977712811921	0.7144734430019365
B	LD_N2	5.8	7	5	3341.208878233105	0.14983756628104375	0.2732284451248049	0.5483966583808695	0.5834195704433176	0.9053987046709127	0.7144734430019365
B	LD_N2	7.4	8	5	3341.208878233105	0.35734583917390605	0.27493011344476576	1.2997697294650767	0.19367990325918003	0.51647974202448	0.7144734430019365
B	LD_N2	9.5	9	5	3341.208878233105	1.1624184155592971	0.27419529567053763	4.239381323872214	2.2413664704900578e-5	5.976977254640154e-5	0.7144734430019365
B	LD_N2	10.8	10	5	3341.208878233105	1.6206029927022885	0.2733233085189317	5.929252801321324	3.0431626539698884e-9	1.2172650615879554e-8	0.7144734430019365
E	HL_5N2	0	26	26	NA	0	0	NA	1	1	1.7386603341366549
E	HL_5N2	2.2	27	26	7087.16371118769	-0.005269818931621795	0.6462573265762636	-0.008154366248410979	0.9934938291705573	0.9991336400486256	1.7386603341366549
E	HL_5N2	4.1	28	26	7087.16371118769	0.1864776582625422	0.6461101725836631	0.2886158834442368	0.7728753393084722	0.7855058969042003	1.7386603341366549
E	HL_5N2	5.2	29	26	7087.16371118769	0.28142638180539953	0.6461162086200176	0.43556620009034164	0.6631514984257143	0.8161864596008792	1.7386603341366549
E	HL_5N2	7.3	30	26	7087.16371118769	0.9521948015631091	0.6466556870883186	1.4724911890136378	0.14088828459731392	0.2554513917749357	1.7386603341366549
E	HL_5N2	8.8	31	26	7087.16371118769	1.6037860614178616	0.6461502504854916	2.482063668957554	0.01306239334532677	0.02612478669065354	1.7386603341366549
E	HL_5N2	10.01	32	26	7087.16371118769	2.3356563002690827	0.6461083442592171	3.6149607430731816	3.003931370574235e-4	6.866128847026823e-4	1.7386603341366549
E	HL_5N2	11.6	33	26	7087.16371118769	2.777402254224474	0.6461765271536708	4.298209757724555	1.721831797722247e-5	3.93561553765085e-5	1.7386603341366549
E	LD_N2	0	5	5	NA	0	0	NA	1	1	-0.24400370170444058
E	LD_N2	3.4	6	5	7087.16371118769	-0.13353002569824426	0.7461316372443719	-0.17896309314988973	0.8579666811917599	0.9429977712811921	-0.24400370170444058
E	LD_N2	5.8	7	5	7087.16371118769	-0.4286789777773661	0.7460849289757016	-0.5745712868987966	0.5655812756467595	0.9053987046709127	-0.24400370170444058
E	LD_N2	7.4	8	5	7087.16371118769	-0.2855590566095812	0.7468971204409316	-0.3823271623285963	0.7022187096523378	0.9705955303257396	-0.24400370170444058
E	LD_N2	9.5	9	5	7087.16371118769	0.1561757256979702	0.7466953781507683	0.20915587569960306	0.834326556657791	0.8899483271016437	-0.24400370170444058
